common_name,scientific_name,ideal_soil,sun_req,water_req,usda_zone_min,usda_zone_max
Actinidia pilosula,Actinidia pilosula,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Actinidia petelotii,Actinidia petelotii,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Actinidia rudis,Actinidia rudis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Actinidia sabiifolia,Actinidia sabiifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Actinidia polygama lecomtei,Actinidia polygama lecomtei,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Actinidia rubricaulis,Actinidia rubricaulis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Actinidia rubus,Actinidia rubus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Aconitum heterophyllum,Aconitum heterophyllum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Acrocomia aculeata,Acrocomia aculeata,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",10.0,12.0
Wolfsbane,Aconitum lycoctonum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,7.0
Bei Wu Tou,Aconitum kusnezoffii,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Acrocarpus fraxinifolius,Acrocarpus fraxinifolius,Medium,Full sun,Moist,10.0,12.0
Aconitum koreanum,Aconitum koreanum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Aconitum japonicum,Aconitum japonicum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Acrotriche aggregata,Acrotriche aggregata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Acrotriche depressa,Acrotriche depressa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sium latifolium,Sium latifolium,"Light (sandy), Medium",Full sun,"Wet, Water",5.0,9.0
Sium serra,Sium serra,"Light (sandy), Medium",Full sun,"Moist, Wet",,
Sium helenianum,Sium helenianum,"Light (sandy), Medium",Full sun,Moist,,
Sisymbrium altissimum,Sisymbrium altissimum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",,
Bermuda Blue-Eyed Grass,Sisyrinchium angustifolium,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,7.0
Small tumbleweed mustard,Sisymbrium loeselii,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",,
Sison amomum,Sison amomum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Xanthium strumarium,Xanthium strumarium,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",6.0,9.0
Xanthorrhoea australis,Xanthorrhoea australis,"Light (sandy), Medium",Full sun,Moist,,
Xanthoceras sorbifolium,Xanthoceras sorbifolium,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,7.0
Xerophyllum tenax,Xerophyllum tenax,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,4.0,8.0
Xanthorhiza simplicissima,Xanthorhiza simplicissima,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade","Moist, Wet",5.0,9.0
Xanthostemon verdugonianus,Xanthostemon verdugonianus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Spiny Cocklebur,Xanthium spinosum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,6.0,9.0
Xanthium commune,Xanthium commune,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Acacia murrayana,Acacia murrayana,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",10.0,12.0
Acacia saligna,Acacia saligna,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",7.0,10.0
Acacia melanoxylon,Acacia melanoxylon,"Light (sandy), Medium",Full sun,"Dry, Moist",9.0,11.0
Acacia pycnantha,Acacia pycnantha,Light (sandy),Full sun,"Dry, Moist",7.0,10.0
Acacia retinodes,Acacia retinodes,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Acacia mucronata,Acacia mucronata,Light (sandy),Full sun,"Dry, Moist",7.0,10.0
Acacia sophorae,Acacia sophorae,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",,
Acacia podalyriifolia,Acacia podalyriifolia,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Acacia paradoxa,Acacia paradoxa,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",7.0,10.0
Adenophora liliifolia,Adenophora liliifolia,"Light (sandy), Medium",Full sun,Moist,3.0,8.0
Adenanthera pavonina,Adenanthera pavonina,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Adenophora stricta,Adenophora stricta,"Light (sandy), Medium",Full sun,Moist,7.0,9.0
Adenophora remotiflora,Adenophora remotiflora,"Light (sandy), Medium",Full sun,Moist,5.0,9.0
Adenophora nikoensis,Adenophora nikoensis,"Light (sandy), Medium",Full sun,Moist,5.0,9.0
Adenophora divaricata,Adenophora divaricata,"Light (sandy), Medium",Full sun,Moist,,
Adenophora latifolia,Adenophora latifolia,"Light (sandy), Medium",Full sun,Moist,,
Adenophora denticulata,Adenophora denticulata,"Light (sandy), Medium",Full sun,Moist,6.0,9.0
Adenophora lamarkii,Adenophora lamarkii,"Light (sandy), Medium",Full sun,Moist,5.0,9.0
Actinidia arguta cordifolia,Actinidia arguta cordifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Actinidia callosa,Actinidia callosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,9.0
Actinidia arisanensis,Actinidia arisanensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Actinidia callosa formosana,Actinidia callosa formosana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sisymbrium matritense,Sisymbrium matritense,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sisymbrium crassifolium,Sisymbrium crassifolium,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Siphonostegia chinensis,Siphonostegia chinensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sium sisarum,Sium sisarum,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,4.0,9.0
Smilax glabra,Smilax glabra,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Smilax hispida,Smilax hispida,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Smilax glauca,Smilax glauca,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",4.0,8.0
Sium suave,Sium suave,"Light (sandy), Medium",Full sun,"Moist, Wet",4.0,8.0
Smilax febrifuga,Smilax febrifuga,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,10.0,12.0
Smilax discotis,Smilax discotis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,7.0,10.0
Sarsparilla,Smilax glyciphylla,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Smilax cordifolia,Smilax cordifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Smilax officinalis,Smilax officinalis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,10.0,12.0
Smilax rotundifolia,Smilax rotundifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,9.0
Smilax nipponica,Smilax nipponica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Smilax tamnoides,Smilax tamnoides,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Smilax lanceifolia,Smilax lanceifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Smilax pseudochina,Smilax pseudochina,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",,
Smilax trinervula,Smilax trinervula,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Smilax riparia,Smilax riparia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Smilax sieboldii,Smilax sieboldii,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sorbus americana,Sorbus americana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,2.0,6.0
Sorbus decora,Sorbus decora,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Smyrnium olusatrum,Smyrnium olusatrum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Sorbus austriaca,Sorbus austriaca,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Sorbus commixta,Sorbus commixta,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Yellow pimpernel,Taenidia integerrima,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",4.0,6.0
Sorbaria sorbifolia,Sorbaria sorbifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,2.0,7.0
Smyrnium perfoliatum,Smyrnium perfoliatum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Sorbopyrus species,Sorbopyrus species,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Sorbus sitchensis,Sorbus sitchensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Sorbus scopulina,Sorbus scopulina,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Allium sativum ophioscorodon,Allium sativum ophioscorodon,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Allium schoenoprasum sibiricum,Allium schoenoprasum sibiricum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Allium scorodoprasum,Allium scorodoprasum,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,9.0
Allium sacculiferum,Allium sacculiferum,"Light (sandy), Medium",Full sun,Moist,,
Allium scorodoprasum rotundum,Allium scorodoprasum rotundum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,9.0
Allium semenovii,Allium semenovii,"Light (sandy), Medium",Full sun,Moist,5.0,9.0
Allium ruhmerianum,Allium ruhmerianum,"Light (sandy), Medium",Full sun,Moist,,
Amaranthus tricolor,Amaranthus tricolor,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,2.0,11.0
Celosia argentea cristata,Celosia argentea cristata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",9.0,12.0
Amaranthus viridis,Amaranthus viridis,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,7.0,11.0
Carapa guianensis,Carapa guianensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade","Moist, Wet",10.0,12.0
Amaranthus standleyanus,Amaranthus standleyanus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Amaranthus torreyi,Amaranthus torreyi,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Amaranthus thunbergii,Amaranthus thunbergii,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Amaranthus tenuifolius,Amaranthus tenuifolius,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Origanum dictamnus,Origanum dictamnus,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",7.0,9.0
Stellaria media,Stellaria media,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,11.0
Aloe ferox,Aloe ferox,"Light (sandy), Medium",Full sun,Dry,9.0,11.0
Tanzanian Aloe,Aloe macrosiphon,"Light (sandy), Medium","Full sun, Partial sun/shade",Dry,9.0,11.0
Star chickweed,Stellaria pubera,"Medium, Heavy (clay)","Partial sun/shade, Full shade",Moist,5.0,8.0
Aloe,Aloe camperi,"Light (sandy), Medium","Full sun, Partial sun/shade",Dry,9.0,12.0
Stellaria graminea,Stellaria graminea,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Stellaria jamesiana,Stellaria jamesiana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,9.0
American chickweed,Stellaria dichotoma,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Stellaria alsine,Stellaria alsine,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Aralia nudicaulis,Aralia nudicaulis,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade",Moist,4.0,8.0
Allium bodeanum,Allium bodeanum,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Trifolium hybridum,Trifolium hybridum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Trifolium fimbriatum,Trifolium fimbriatum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Trifolium incarnatum,Trifolium incarnatum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,3.0,9.0
Trifolium subterraneum,Trifolium subterraneum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,7.0,10.0
Trifolium dichotomum,Trifolium dichotomum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Trifolium tridentatum,Trifolium tridentatum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Trifolium obtusiflorum,Trifolium obtusiflorum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Trifolium lupinaster,Trifolium lupinaster,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Trifolium variegatum,Trifolium variegatum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Trifolium microcephalum,Trifolium microcephalum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Theobroma cacao,Theobroma cacao,"Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,10.0,12.0
Theobroma glaucum,Theobroma glaucum,"Medium, Heavy (clay)",Partial sun/shade,Moist,10.0,12.0
Thladiantha dubia,Thladiantha dubia,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,6.0,9.0
Thermopsis lupinoides,Thermopsis lupinoides,"Light (sandy), Medium",Full sun,"Dry, Moist",3.0,7.0
Woodland parsnip,Thaspium trifoliatum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",4.0,9.0
Thelymitra longifolia,Thelymitra longifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Navajo Tea,Thelesperma megapotamicum,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",,
Thelymitra pulchella,Thelymitra pulchella,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Thelesperma trifidum,Thelesperma trifidum,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",,
Terminalia catappa,Terminalia catappa,"Light (sandy), Medium",Full sun,Moist,10.0,12.0
Terminalia chebula,Terminalia chebula,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Terminalia ivorensis,Terminalia ivorensis,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Telfairia occidentalis,Telfairia occidentalis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,10.0,12.0
Terminalia kaernbachii,Terminalia kaernbachii,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Tephrosia virginiana,Tephrosia virginiana,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,8.0
Allium atropurpureum,Allium atropurpureum,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,7.0,10.0
Allium altaicum,Allium altaicum,"Light (sandy), Medium",Full sun,Moist,,
Allium angulare,Allium angulare,"Light (sandy), Medium",Full sun,Moist,,
Aletris farinosa,Aletris farinosa,"Light (sandy), Medium",Full sun,Moist,6.0,9.0
Aletris spicata,Aletris spicata,"Light (sandy), Medium",Full sun,Moist,,
Prosopis juliflora,Prosopis juliflora,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,12.0
Allium roseum,Allium roseum,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Allium ramosum,Allium ramosum,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,9.0
Allium rubellum,Allium rubellum,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Elaeis oleifera,Elaeis oleifera,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Alhagi maurorum,Alhagi maurorum,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,10.0
Alkanna tinctoria,Alkanna tinctoria,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",,
Limnocharis flava,Limnocharis flava,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet, Water",10.0,12.0
Alhagi mannifera,Alhagi mannifera,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Amaranthus hybridus,Amaranthus hybridus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,6.0,12.0
Amaranthus hypochondriacus,Amaranthus hypochondriacus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,3.0,10.0
Allium wallichii,Allium wallichii,"Light (sandy), Medium",Full sun,Moist,7.0,10.0
Amaranthus mangostanus,Amaranthus mangostanus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Allocasuarina littoralis,Allocasuarina littoralis,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,9.0,11.0
Vitex payos,Vitex payos,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",10.0,12.0
Casuarina torulosa,Casuarina torulosa,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",8.0,11.0
Dysoxylum acutangulum,Dysoxylum acutangulum,"Light (sandy), Medium",Full sun,Moist,10.0,12.0
Dysoxylum fraserianum,Dysoxylum fraserianum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Alnus rubra,Alnus rubra,"Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",7.0,8.0
Meadow zizia,Zizia aptera,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",4.0,8.0
Telopea speciosissima,Telopea speciosissima,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,8.0,11.0
Fringe Cups,Tellima grandiflora,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Tragopogon pratensis,Tragopogon pratensis,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,3.0,7.0
Tragopogon porrifolius,Tragopogon porrifolius,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,4.0,8.0
Tiarella cordifolia,Tiarella cordifolia,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade",Moist,3.0,9.0
Trapa natans,Trapa natans,"Light (sandy), Medium, Heavy (clay)",Full sun,Water,6.0,12.0
Trapa bicornis,Trapa bicornis,"Light (sandy), Medium, Heavy (clay)",Full sun,Water,4.0,8.0
Tigridia pavonia,Tigridia pavonia,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Trapa japonica,Trapa japonica,"Light (sandy), Medium, Heavy (clay)",Full sun,Water,,
Trapa incisa,Trapa incisa,"Light (sandy), Medium, Heavy (clay)",Full sun,Water,,
Tragopogon hispanica,Tragopogon hispanica,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Hercules Club Prickly Ash - Southern,Zanthoxylum clava-herculis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,7.0,11.0
Zanthoxylum bungeanum,Zanthoxylum bungeanum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Tribulus terrestris,Tribulus terrestris,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",,
Zanthoxylum alatum,Zanthoxylum alatum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Torreya yunnanensis,Torreya yunnanensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,7.0,10.0
Zanthoxylum beecheyanum,Zanthoxylum beecheyanum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Zanthoxylum ailanthoides,Zanthoxylum ailanthoides,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,8.0,11.0
Zantedeschia aethiopica,Zantedeschia aethiopica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Wet, Water",8.0,10.0
Zanthoxylum coreanum,Zanthoxylum coreanum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Yucca angustissima,Yucca angustissima,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",4.0,9.0
Yucca constricta,Yucca constricta,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",8.0,11.0
Wyethia mollis,Wyethia mollis,"Light (sandy), Medium",Full sun,Moist,7.0,10.0
Wyethia longicaulis,Wyethia longicaulis,"Light (sandy), Medium",Full sun,Moist,,
Mother-in-Law's Tongue,Sansevieria trifasciata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",10.0,12.0
Sanicula europaea,Sanicula europaea,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Maryland Sanicle,Sanicula marylandica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sanicula rubriflora,Sanicula rubriflora,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sanicula tuberculata,Sanicula tuberculata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sanicula chinensis,Sanicula chinensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sanicula tuberosa,Sanicula tuberosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sanseviera aethiopica,Sanseviera aethiopica,"Light (sandy), Medium",Full sun,"Dry, Moist",9.0,11.0
Solanum aviculare,Solanum aviculare,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,8.0,11.0
Solanum carolinense,Solanum carolinense,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,7.0
Solanum andigenum,Solanum andigenum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Solanum curtilobum,Solanum curtilobum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Solanum chaucha,Solanum chaucha,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Solanum americanum,Solanum americanum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Solanum cari,Solanum cari,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Solanum boyacense,Solanum boyacense,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Solanum boreale,Solanum boreale,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Solidago odora,Solidago odora,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",3.0,7.0
Solidago nemoralis,Solidago nemoralis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",,
Solidago spathulata,Solidago spathulata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,9.0
Solidago missouriensis,Solidago missouriensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",6.0,9.0
Solidago spectabilis,Solidago spectabilis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,9.0
Sorbus intermedia,Sorbus intermedia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Sorbus devoniensis,Sorbus devoniensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,9.0
Sorbus hybrida,Sorbus hybrida,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Sorbus mougeotii,Sorbus mougeotii,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Sorbus species,Sorbus species,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,9.0
Sorbus sambucifolia,Sorbus sambucifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Sorbus gracilis,Sorbus gracilis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Sorghum bicolor,Sorghum bicolor,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",9.0,12.0
Sorbus vestita,Sorbus vestita,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,9.0
Sparganium stoloniferum,Sparganium stoloniferum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Wet, Water",,
Spartina anglica,Spartina anglica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",,
Sparganium americanum,Sparganium americanum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Wet, Water",,
Sparganium erectum,Sparganium erectum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade","Wet, Water",4.0,8.0
Sparganium androcladum,Sparganium androcladum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Wet, Water",,
Sparaxis bulbifera,Sparaxis bulbifera,Light (sandy),Full sun,"Dry, Moist",8.0,11.0
Sparganium longifolium,Sparganium longifolium,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Wet, Water",,
Sophora japonica,Sophora japonica,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,4.0,9.0
Trichilia emetica,Trichilia emetica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",10.0,12.0
Alchemilla alpina,Alchemilla alpina,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",3.0,7.0
Aleurites cordata,Aleurites cordata,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,9.0,11.0
Reutealis trisperma,Reutealis trisperma,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,9.0,12.0
Lady's-mantle,Alchemilla mollis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,3.0,8.0
Allium ursinum,Allium ursinum,"Light (sandy), Medium","Full sun, Partial sun/shade, Full shade",Moist,4.0,8.0
Allium vineale,Allium vineale,"Light (sandy), Medium",Full sun,"Dry, Moist",5.0,8.0
